Date,Open,High,Low,Close,Adj Close,Volume
2012-06-14,2529.050049,2560.000000,2502.000000,2527.699951,2480.477295,314
2012-06-15,2559.949951,2559.949951,2501.000000,2513.750000,2466.787842,522
2012-06-18,2549.000000,2549.000000,2491.000000,2505.350098,2458.545166,757
2012-06-19,2501.000000,2538.500000,2501.000000,2514.250000,2467.278076,703
2012-06-20,2534.000000,2534.000000,2505.000000,2509.699951,2462.813965,544
2012-06-21,2525.000000,2691.899902,2506.000000,2616.800049,2567.912354,1201
2012-06-22,2590.050049,2695.000000,2550.000000,2613.949951,2565.115967,1563
2012-06-25,2678.949951,2678.949951,2585.850098,2615.699951,2566.833252,270
2012-06-26,2607.000000,2700.000000,2555.500000,2658.550049,2608.882813,633
2012-06-27,2652.050049,2698.000000,2608.000000,2658.300049,2608.636963,993
2012-06-28,2699.750000,2775.000000,2580.000000,2681.100098,2631.011475,3340
2012-06-29,2740.000000,2790.000000,2645.100098,2750.550049,2699.164063,3238
2012-07-02,2780.000000,2780.000000,2675.000000,2737.399902,2686.259277,1245
2012-07-03,2790.000000,2790.000000,2605.100098,2770.050049,2718.300049,763
2012-07-04,2769.000000,2770.000000,2730.050049,2753.949951,2702.500488,256
2012-07-05,2950.899902,2950.899902,2710.000000,2728.850098,2677.869385,1378
2012-07-06,2755.000000,2755.000000,2700.000000,2709.100098,2658.488037,502
2012-07-09,2729.949951,2729.949951,2640.000000,2658.000000,2608.342773,283
2012-07-10,2720.000000,2720.000000,2650.000000,2660.750000,2611.041504,303
2012-07-11,2652.399902,2668.850098,2620.000000,2642.000000,2592.641846,459
2012-07-12,2665.000000,2700.000000,2616.000000,2669.149902,2619.284180,560
2012-07-13,2688.949951,2688.949951,2601.000000,2621.250000,2572.279541,516
2012-07-16,2680.000000,2694.949951,2599.899902,2642.649902,2593.279541,839
2012-07-17,2668.000000,2690.000000,2622.000000,2658.149902,2608.489990,875
2012-07-18,2667.000000,2695.000000,2475.000000,2495.500000,2448.878906,10579
2012-07-19,2495.500000,2500.000000,2415.000000,2426.699951,2381.364014,2447
2012-07-20,2470.000000,2470.000000,2422.000000,2434.199951,2388.723633,327
